,weather_grid,fips,county,state
2962,21317,56025,Natrona,WY
23729,21318,56025,Natrona,WY
1377,21319,56025,Natrona,WY
23739,21320,56025,Natrona,WY
218,21321,56009,Converse,WY
23738,21322,56009,Converse,WY
1376,21323,56009,Converse,WY
23752,21324,56009,Converse,WY
23760,21325,56031,Platte,WY
2965,21326,56027,Niobrara,WY
23770,21327,56027,Niobrara,WY
1374,21328,56027,Niobrara,WY
23781,21329,31165,Sioux,NE
219,21330,31165,Sioux,NE
23779,21331,31045,Dawes,NE
112,21332,31045,Dawes,NE
23791,21333,31045,Dawes,NE
2966,21334,31161,Sheridan,NE
23802,21335,31161,Sheridan,NE
23812,21336,31161,Sheridan,NE
1371,21337,31031,Cherry,NE
23821,21338,31031,Cherry,NE
220,21339,31031,Cherry,NE
23832,21340,31031,Cherry,NE
1370,21341,31031,Cherry,NE
23831,21342,31031,Cherry,NE
2967,21343,31031,Cherry,NE
23844,21344,31017,Brown,NE
23855,21345,31017,Brown,NE
1367,21346,31149,Rock,NE
23868,21347,31149,Rock,NE
222,21348,31089,Holt,NE
23886,21349,31089,Holt,NE
111,21350,31089,Holt,NE
23884,21351,31089,Holt,NE
2968,21352,31107,Knox,NE
23897,21353,31107,Knox,NE
1366,21354,31107,Knox,NE
23909,21355,31027,Cedar,NE
23924,21356,31027,Cedar,NE
224,21357,31051,Dixon,NE
23938,21358,46127,Union,SD
1364,21359,19149,Plymouth,IA
23961,21360,19149,Plymouth,IA
2969,21361,19149,Plymouth,IA
23959,21362,19035,Cherokee,IA
1360,21363,19021,Buena Vista,IA
23973,21364,19021,Buena Vista,IA
23985,21365,19151,Pocahontas,IA
226,21366,19151,Pocahontas,IA
23999,21367,19187,Webster,IA
110,21368,19187,Webster,IA
24021,21369,19197,Wright,IA
2973,21370,19197,Wright,IA
24014,21371,19069,Franklin,IA
1355,21372,19069,Franklin,IA
24034,21373,19023,Butler,IA
230,21374,19023,Butler,IA
24045,21375,19013,Black Hawk,IA
24057,21376,19013,Black Hawk,IA
1353,21377,19019,Buchanan,IA
24071,21378,19019,Buchanan,IA
2974,21379,19055,Delaware,IA
24090,21380,19043,Clayton,IA
1352,21381,19061,Dubuque,IA
24085,21382,55043,Grant,WI
234,21383,55065,Lafayette,WI
24107,21384,55065,Lafayette,WI
24121,21385,55065,Lafayette,WI
108,21386,55045,Green,WI
24132,21387,55045,Green,WI
2976,21388,55105,Rock,WI
24152,21389,55105,Rock,WI
1349,21390,55127,Walworth,WI
24150,21391,55127,Walworth,WI
235,21392,55059,Kenosha,WI
24169,21393,55059,Kenosha,WI
24188,21400,26005,Allegan,MI
237,21401,26005,Allegan,MI
24186,21402,26005,Allegan,MI
106,21403,26015,Barry,MI
