weather_grid (Trip)	stationID (Meridith)	lat	lon
443	9299	29.875	-102.375
494	9350	29.875	-89.625
442	9298	29.875	-102.625
495	9351	29.875	-89.375
315	8674	29.125	-81.625
441	9297	29.875	-102.875
440	9296	29.875	-103.125
360	8903	29.375	-83.375
316	8675	29.125	-81.375
439	9295	29.875	-103.375
546	9560	30.125	-96.125
547	9561	30.125	-95.875
545	9559	30.125	-96.375
548	9562	30.125	-95.625
544	9558	30.125	-96.625
549	9563	30.125	-95.375
543	9557	30.125	-96.875
550	9564	30.125	-95.125
542	9556	30.125	-97.125
551	9565	30.125	-94.875
541	9555	30.125	-97.375
552	9566	30.125	-94.625
540	9554	30.125	-97.625
553	9567	30.125	-94.375
361	8904	29.375	-83.125
438	9294	29.875	-103.625
539	9553	30.125	-97.875
554	9568	30.125	-94.125
421	9131	29.625	-85.375
317	8676	29.125	-81.125
538	9552	30.125	-98.125
555	9569	30.125	-93.875
537	9551	30.125	-98.375
556	9570	30.125	-93.625
536	9550	30.125	-98.625
557	9571	30.125	-93.375
437	9293	29.875	-103.875
535	9549	30.125	-98.875
558	9572	30.125	-93.125
362	8905	29.375	-82.875
422	9132	29.625	-85.125
534	9548	30.125	-99.125
559	9573	30.125	-92.875
436	9292	29.875	-104.125
533	9547	30.125	-99.375
560	9574	30.125	-92.625
318	8677	29.125	-80.875
532	9546	30.125	-99.625
561	9575	30.125	-92.375
531	9545	30.125	-99.875
562	9576	30.125	-92.125
435	9291	29.875	-104.375
363	8906	29.375	-82.625
530	9544	30.125	-100.125
563	9577	30.125	-91.875
529	9543	30.125	-100.375
564	9578	30.125	-91.625
434	9290	29.875	-104.625
528	9542	30.125	-100.625
565	9579	30.125	-91.375
364	8907	29.375	-82.375
527	9541	30.125	-100.875
566	9580	30.125	-91.125
526	9540	30.125	-101.125
567	9581	30.125	-90.875
525	9539	30.125	-101.375
568	9582	30.125	-90.625
365	8908	29.375	-82.125
524	9538	30.125	-101.625
569	9583	30.125	-90.375
523	9537	30.125	-101.875
570	9584	30.125	-90.125
366	8909	29.375	-81.875
522	9536	30.125	-102.125
571	9585	30.125	-89.875
521	9535	30.125	-102.375
572	9586	30.125	-89.625
367	8910	29.375	-81.625
520	9534	30.125	-102.625
573	9587	30.125	-89.375
423	9138	29.625	-83.625
519	9533	30.125	-102.875
424	9139	29.625	-83.375
518	9532	30.125	-103.125
368	8911	29.375	-81.375
517	9531	30.125	-103.375
627	9796	30.375	-96.125
628	9797	30.375	-95.875
626	9795	30.375	-96.375
629	9798	30.375	-95.625
625	9794	30.375	-96.625
630	9799	30.375	-95.375
624	9793	30.375	-96.875
631	9800	30.375	-95.125
623	9792	30.375	-97.125
632	9801	30.375	-94.875
622	9791	30.375	-97.375
633	9802	30.375	-94.625
425	9140	29.625	-83.125
621	9790	30.375	-97.625
634	9803	30.375	-94.375
516	9530	30.125	-103.625
496	9367	29.875	-85.375
620	9789	30.375	-97.875
635	9804	30.375	-94.125
369	8912	29.375	-81.125
